level,macro_category,subcategory,relation,taxis,connector
inter_sentential,Enhancement,Causal-Conditional,Result,,subsequently
inter_sentential,Enhancement,Causal-Conditional,Result,,result
inter_sentential,Enhancement,Causal-Conditional,Result,,results
inter_sentential,Enhancement,Causal-Conditional,Reason,,because
inter_sentential,Enhancement,Causal-Conditional,Reason,,because of
inter_sentential,Enhancement,Causal-Conditional,Reason,,since
inter_sentential,Enhancement,Causal-Conditional,Reason,,as
inter_sentential,Enhancement,Causal-Conditional,Reason,,for
inter_sentential,Enhancement,Causal-Conditional,Reason,,in that
inter_sentential,Enhancement,Causal-Conditional,Reason,,seeing that
inter_sentential,Enhancement,Causal-Conditional,Reason,,considering that
inter_sentential,Enhancement,Causal-Conditional,Reason,,given that
inter_sentential,Enhancement,Causal-Conditional,Reason,,on account of
inter_sentential,Enhancement,Causal-Conditional,Reason,,owing to
inter_sentential,Enhancement,Causal-Conditional,Reason,,due to
inter_sentential,Enhancement,Causal-Conditional,Reason,,thanks to
inter_sentential,Enhancement,Causal-Conditional,Reason,,for fear that
inter_sentential,Enhancement,Causal-Conditional,Reason,,for that reason
inter_sentential,Enhancement,Causal-Conditional,Reason,,as a result
inter_sentential,Enhancement,Causal-Conditional,Reason,,consequently
inter_sentential,Enhancement,Causal-Conditional,Reason,,therefore
inter_sentential,Enhancement,Causal-Conditional,Reason,,thus
inter_sentential,Enhancement,Causal-Conditional,Reason,,hence
inter_sentential,Enhancement,Causal-Conditional,Reason,,accordingly
inter_sentential,Enhancement,Causal-Conditional,Purpose,,so that
inter_sentential,Enhancement,Causal-Conditional,Purpose,,in order that
inter_sentential,Enhancement,Causal-Conditional,Purpose,,lest
inter_sentential,Enhancement,Causal-Conditional,Purpose,,for the purpose of
inter_sentential,Enhancement,Causal-Conditional,Purpose,,with the aim of
inter_sentential,Enhancement,Causal-Conditional,Purpose,,to the end that
inter_sentential,Enhancement,Causal-Conditional,Purpose,,with this in mind
inter_sentential,Enhancement,Causal-Conditional,Purpose,,for fear of
inter_sentential,Enhancement,Causal-Conditional,Concessive,,although
inter_sentential,Enhancement,Causal-Conditional,Concessive,,though
inter_sentential,Enhancement,Causal-Conditional,Concessive,,even though
inter_sentential,Enhancement,Causal-Conditional,Concessive,,while
inter_sentential,Enhancement,Causal-Conditional,Concessive,,whilst
inter_sentential,Enhancement,Causal-Conditional,Concessive,,whereas
inter_sentential,Enhancement,Causal-Conditional,Concessive,,much as
inter_sentential,Enhancement,Causal-Conditional,Concessive,,albeit
inter_sentential,Enhancement,Causal-Conditional,Concessive,,notwithstanding
inter_sentential,Enhancement,Causal-Conditional,Concessive,,despite
inter_sentential,Enhancement,Causal-Conditional,Concessive,,in spite of
inter_sentential,Enhancement,Causal-Conditional,Concessive,,regardless
inter_sentential,Enhancement,Causal-Conditional,Concessive,,even so
inter_sentential,Enhancement,Causal-Conditional,Concessive,,all the same
inter_sentential,Enhancement,Causal-Conditional,Concessive,,nevertheless
inter_sentential,Enhancement,Causal-Conditional,Concessive,,nonetheless
inter_sentential,Enhancement,Causal-Conditional,Concessive,,regrettably
inter_sentential,Enhancement,Causal-Conditional,Concessive,,fortunately
inter_sentential,Enhancement,Causal-Conditional,Concessive,,unfortunately
inter_sentential,Enhancement,Causal-Conditional,Concessive,,admittedly
inter_sentential,Enhancement,Matter,Positive,,here
inter_sentential,Enhancement,Matter,Positive,,there
inter_sentential,Enhancement,Matter,Positive,,as to that
inter_sentential,Enhancement,Matter,Positive,,in that respect
inter_sentential,Enhancement,Matter,Positive,,regarding this
inter_sentential,Enhancement,Matter,Positive,,concerning
inter_sentential,Enhancement,Matter,Positive,,with reference to
inter_sentential,Enhancement,Matter,Positive,,on the topic of
inter_sentential,Enhancement,Matter,Positive,,in relation to
inter_sentential,Enhancement,Matter,Negative,,in other respects
inter_sentential,Enhancement,Matter,Negative,,elsewhere
inter_sentential,Enhancement,Matter,Negative,,apart from this
inter_sentential,Enhancement,Matter,Negative,,outside of this
inter_sentential,Enhancement,Matter,Negative,,not regarding
inter_sentential,Enhancement,Matter,Negative,,irrespective of
inter_sentential,Enhancement,Matter,Negative,,independent of
inter_sentential,Enhancement,Matter,Negative,,off topic
