text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,intersent_enh_spatio_temporal_simple_following_raw,intersent_enh_spatio_temporal_simple_following_per_1000,macro_extension_raw,macro_extension_per_1000,intersent_ext_adv_raw,intersent_ext_adv_per_1000,intersent_enh_caus_general_raw,intersent_enh_caus_general_per_1000,intersent_enh_spatio_temporal_simple_concl_raw,intersent_enh_spatio_temporal_simple_concl_per_1000,intersent_enh_spatio_temporal_simple_sim_raw,intersent_enh_spatio_temporal_simple_sim_per_1000,intersent_enh_caus_conc_raw,intersent_enh_caus_conc_per_1000,intersent_enh_spatio_temporal_complex_interrupted_raw,intersent_enh_spatio_temporal_complex_interrupted_per_1000,intersent_ext_add_positive_raw,intersent_ext_add_positive_per_1000,intersent_enh_caus_reason_raw,intersent_enh_caus_reason_per_1000,intersent_enh_caus_cond_positive_raw,intersent_enh_caus_cond_positive_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,intersent_elab_appositive_raw,intersent_elab_appositive_per_1000,intersent_enh_spatio_temporal_complex_repetitive_raw,intersent_enh_spatio_temporal_complex_repetitive_per_1000,intersent_enh_caus_cond_negative_raw,intersent_enh_caus_cond_negative_per_1000,intersent_enh_spatio_temporal_complex_punctiliar_raw,intersent_enh_spatio_temporal_complex_punctiliar_per_1000,intersent_elab_clar_corrective_raw,intersent_elab_clar_corrective_per_1000,intersent_elab_clar_sum_raw,intersent_elab_clar_sum_per_1000,intersent_ext_var_repl_raw,intersent_ext_var_repl_per_1000,intersent_enh_spatio_temporal_complex_specific_raw,intersent_enh_spatio_temporal_complex_specific_per_1000,intersent_enh_spatio_temporal_complex_durative_raw,intersent_enh_spatio_temporal_complex_durative_per_1000,intersent_enh_caus_result_raw,intersent_enh_caus_result_per_1000,intersent_ext_var_alt_raw,intersent_ext_var_alt_per_1000,intersent_enh_spatio_temporal_complex_immediate_raw,intersent_enh_spatio_temporal_complex_immediate_per_1000,intersent_enh_spatio_temporal_simple_preceding_raw,intersent_enh_spatio_temporal_simple_preceding_per_1000,intersent_enh_manner_means_raw,intersent_enh_manner_means_per_1000,intersent_elab_clar_verif_raw,intersent_elab_clar_verif_per_1000,intersent_enh_caus_purpose_raw,intersent_enh_caus_purpose_per_1000,intersent_ext_add_negative_raw,intersent_ext_add_negative_per_1000,intersent_enh_spatio_temporal_complex_terminal_raw,intersent_enh_spatio_temporal_complex_terminal_per_1000,intersent_elab_exemp_raw,intersent_elab_exemp_per_1000,intersent_elab_clar_dismissive_raw,intersent_elab_clar_dismissive_per_1000,intersent_ext_var_subtr_raw,intersent_ext_var_subtr_per_1000,intersent_elab_clar_particularizing_raw,intersent_elab_clar_particularizing_per_1000,intersent_elab_clar_distractive_raw,intersent_elab_clar_distractive_per_1000,intersent_enh_matter_negative_raw,intersent_enh_matter_negative_per_1000
es_wr_b1_29_11_14_thc,inter_sentential_v2,346,parser_full_text,3,8.670520231213873,3.0,8.670520231213873,1.0,2.890173410404624,,,,,,,1.0,2.890173410404624,,,,,,,,,1.0,2.890173410404624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_29_15_3_pmj,inter_sentential_v2,312,parser_full_text,1,3.205128205128205,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.205128205128205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.205128205128205,,,,,,,,,,
es_wr_b1_29_4_14_nnm,inter_sentential_v2,341,parser_full_text,2,5.865102639296188,2.0,5.865102639296188,1.0,2.932551319648094,,,,,,,1.0,2.932551319648094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_30_8_3_ztl,inter_sentential_v2,331,parser_full_text,1,3.0211480362537766,1.0,3.0211480362537766,,,,,,,,,,,,,,,,,,,,,1.0,3.0211480362537766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_31_11_13_mvg,inter_sentential_v2,422,parser_full_text,4,9.47867298578199,4.0,9.47867298578199,1.0,2.3696682464454977,,,,,1.0,2.3696682464454977,,,1.0,2.3696682464454977,1.0,2.3696682464454977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_31_12_3_ple,inter_sentential_v2,312,parser_full_text,3,9.615384615384617,3.0,9.615384615384617,2.0,6.41025641025641,,,,,,,1.0,3.205128205128205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_31_23_3_cms,inter_sentential_v2,347,parser_full_text,1,2.881844380403458,,,,,1.0,2.881844380403458,1.0,2.881844380403458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_31_26_3_emsh,inter_sentential_v2,389,parser_full_text,2,5.141388174807197,1.0,2.5706940874035986,1.0,2.5706940874035986,1.0,2.5706940874035986,1.0,2.5706940874035986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_31_3_3_geer,inter_sentential_v2,381,parser_full_text,1,2.6246719160104988,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.6246719160104988,,,,,,,,,1.0,2.6246719160104988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_32_17_14_icm,inter_sentential_v2,470,parser_full_text,4,8.51063829787234,3.0,6.382978723404255,1.0,2.127659574468085,1.0,2.127659574468085,1.0,2.127659574468085,,,,,1.0,2.127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.127659574468085,,,,,,,,,,,,,,,,,,,,
es_wr_b1_32_26_3_ferm,inter_sentential_v2,285,parser_full_text,1,3.5087719298245617,1.0,3.5087719298245617,1.0,3.5087719298245617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_32_26_3_ymm,inter_sentential_v2,277,parser_full_text,1,3.6101083032490977,1.0,3.6101083032490977,,,,,,,,,1.0,3.6101083032490977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_32_9_3_cmm,inter_sentential_v2,277,parser_full_text,1,3.6101083032490977,,,,,1.0,3.6101083032490977,1.0,3.6101083032490977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_34_20_3_rgg,inter_sentential_v2,279,parser_full_text,2,7.168458781362007,2.0,7.168458781362007,,,,,,,,,1.0,3.5842293906810037,,,1.0,3.5842293906810037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_38_26_3_egf,inter_sentential_v2,282,parser_full_text,1,3.5460992907801416,1.0,3.5460992907801416,1.0,3.5460992907801416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_40_25_3_ml,inter_sentential_v2,284,parser_full_text,2,7.042253521126761,1.0,3.5211267605633805,,,,,,,,,1.0,3.5211267605633805,,,,,,,,,,,,,1.0,3.5211267605633805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.5211267605633805,,,,,,,,,,
es_wr_b1_40_29_3_pbs,inter_sentential_v2,304,parser_full_text,1,3.289473684210526,,,,,1.0,3.289473684210526,1.0,3.289473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_41_1_14_saa,inter_sentential_v2,386,parser_full_text,3,7.772020725388601,3.0,7.772020725388601,2.0,5.181347150259067,,,,,1.0,2.5906735751295336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_42_3_3_fs,inter_sentential_v2,416,parser_full_text,5,12.01923076923077,4.0,9.615384615384617,2.0,4.807692307692308,1.0,2.403846153846154,1.0,2.403846153846154,1.0,2.403846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.403846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_44_15_13_ljnv,inter_sentential_v2,351,parser_full_text,1,2.849002849002849,1.0,2.849002849002849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.849002849002849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_45_26_3_eab,inter_sentential_v2,299,parser_full_text,1,3.3444816053511706,1.0,3.3444816053511706,,,,,,,,,1.0,3.3444816053511706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_45_35_13_er,inter_sentential_v2,328,parser_full_text,2,6.097560975609756,1.0,3.048780487804878,1.0,3.048780487804878,1.0,3.048780487804878,1.0,3.048780487804878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_45_9_3_mgm,inter_sentential_v2,267,parser_full_text,1,3.745318352059925,1.0,3.745318352059925,1.0,3.745318352059925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_b1_46_2_3_mj,inter_sentential_v2,277,parser_full_text,2,7.220216606498195,1.0,3.6101083032490977,,,1.0,3.6101083032490977,1.0,3.6101083032490977,1.0,3.6101083032490977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
