text_id,detected_item,n_cases
gig_1095b,also,1
gig_1095b,although,1
gig_1095b,furthermore,1
gig_1095b,however,1
gig_1095b,moreover,1
gig_1095b,on the other hand,1
gig_1095b,whereas,1
gig_1095c,also,1
gig_1095c,furthermore,1
gig_1095c,in addition,1
gig_1095c,later,1
gig_1095d,also,1
gig_1095d,however,5
gig_1095d,later,1
gig_1095d,moreover,2
gig_1095e,because,1
gig_1095e,furthermore,1
gig_1095e,however,2
gig_1095e,if,1
gig_1095e,in addition,1
gig_1095f,too,1
gig_1096b,but,2
gig_1096d,although,1
gig_1096d,on the other hand,1
gig_1096e,but,1
gig_1097b,for example,1
gig_1097b,however,2
gig_1097b,in addition,1
gig_1097b,on the other hand,1
gig_1097c,also,1
gig_1097c,for example,1
gig_1097c,in addition,1
gig_1097d,also,1
gig_1097d,for example,2
gig_1097d,however,2
gig_1097d,in contrast,1
gig_1097d,then,1
gig_1097e,because,1
gig_1097e,but,2
gig_1097e,in reality,1
gig_1097e,unfortunately,3
gig_1097f,although,1
gig_1097f,however,1
gig_1097f,instantly,1
gig_1097f,then,3
gig_1098b,also,1
gig_1098c,also,1
gig_1098d,also,1
gig_1098d,even though,1
gig_1098e,also,1
gig_1098f,then,1
gig_1098f,until,1
gig_1098f,while,1
gig_1099a,on the other hand,1
gig_1099b,on the other hand,1
gig_1099b,whereas,1
gig_1099c,lastly,1
gig_1099e,but,1
gig_1099f,but,1
gig_109a,also,1
gig_109a,thanks to,1
gig_109b,so,1
gig_1100a,however,1
gig_1100c,then,1
gig_1100d,whereas,1
gig_1100e,because,1
gig_1100e,but,1
gig_1100e,if,1
gig_1100e,or,1
gig_1101b,because,1
gig_1101b,so,2
gig_1101e,because,1
gig_1101e,but,2
gig_1101e,however,2
gig_1101e,so,1
gig_1102a,after,1
gig_1102b,but,1
gig_1102b,whereas,1
gig_1102d,as in,1
gig_1102d,throughout,1
gig_1102d,yet,1
gig_1102e,however,1
gig_1102e,therefore,1
gig_1102f,although,1
gig_1102f,using,1
gig_1103a,even though,1
gig_1103b,however,1
gig_1103f,then,1
gig_1104,if,1
gig_1104,so,1
gig_1104,therefore,1
gig_1105a,but,1
gig_1105a,moreover,1
gig_1105a,so,1
gig_1105b,in contrast,1
gig_1105c,additionally,1
gig_1105c,furthermore,1
gig_1105d,however,2
gig_1105e,that is,1
gig_1105f,in the end,1
gig_1105f,never,1
gig_1105f,so,1
gig_1106a,additionally,1
gig_1106a,also,1
gig_1106a,but,1
gig_1106b,furthermore,1
gig_1106b,on the other hand,1
gig_1106b,whereas,1
gig_1106c,also,1
gig_1106d,on the other hand,1
gig_1106d,whereas,1
gig_1106e,also,1
gig_1106e,but,2
gig_1106e,for example,1
gig_1106e,furthermore,1
gig_1106e,in addition,1
gig_1106e,in conclusion,1
gig_1106e,on the other hand,1
gig_1106e,so,1
gig_1106f,then,1
gig_1107b,then,1
gig_1108a,first,1
gig_1108a,so,1
gig_1108b,however,1
gig_1108d,but,1
gig_1108e,but,1
gig_1108e,however,1
gig_1108f,then,1
gig_1108f,until,1
gig_1109b,however,1
gig_1109b,on the other hand,1
gig_1109d,but,1
gig_1109d,on the other hand,1
gig_1109d,such as,1
gig_1109d,whereas,1
gig_1109e,however,1
gig_110a,but,1
gig_110a,if,3
gig_110b,apart from,1
gig_110b,even though,1
gig_110b,in fact,1
gig_110b,or,1
gig_1110,after,1
gig_1110,also,1
gig_1110,due to,1
gig_1110,furthermore,1
gig_1110,however,1
gig_1110,in conclusion,1
gig_1110,through,1
gig_1110,throughout,1
gig_1110,ultimately,1
gig_1111a,but,2
gig_1111a,for example,1
gig_1111a,otherwise,1
gig_1111a,through,2
gig_1111a,using,1
gig_1111b,again,1
gig_1111b,but,1
gig_1111b,for example,1
gig_1111b,instead,1
gig_1111b,so,1
gig_1111b,therefore,1
gig_1111b,throughout,1
gig_1112a,but,1
gig_1113,in conclusion,1
gig_1115c,whereas,1
gig_1115d,if,3
gig_1115d,so,1
gig_1115d,without,1
gig_1116a,but,1
gig_1116b,later,2
gig_1116c,but,1
gig_1116c,the next day,1
gig_1118a,also,1
gig_1118a,however,1
gig_1118a,whereas,1
gig_1118b,also,1
gig_1118b,furthermore,1
gig_1118c,however,1
gig_1118d,as an example,1
gig_1118d,however,1
gig_1118d,that is,1
gig_1118e,then,1
gig_1119c,however,1
gig_111a,however,1
gig_111b,at least,1
gig_111b,but,2
gig_111b,until,1
gig_111b,yet,1
gig_1121a,first,2
gig_1121b,but,1
gig_1121c,before long,1
gig_1121c,soon,1
gig_1121f,on the other hand,1
gig_1124e,if,1
gig_1125c,in conclusion,1
gig_1126a,but,1
gig_1126c,but,1
gig_1127a,in conclusion,1
gig_1128c,in conclusion,1
gig_1128c,on the other hand,1
gig_1129e,then,1
gig_1129f,because,1
gig_1129f,but,1
gig_113,also,1
gig_113,but,1
gig_113,on the other hand,1
gig_1130e,if,1
gig_1131c,but,1
gig_1131c,on the other hand,1
gig_1132c,lastly,1
gig_1132f,lastly,1
gig_1132g,if,1
gig_1134d,because,2
gig_1135g,after,1
gig_1135h,because,1
gig_1135h,in conclusion,1
gig_1135h,on the other hand,1
gig_1136a,but,2
gig_1136a,on the other hand,1
gig_1137e,in conclusion,1
gig_1138a,lastly,1
gig_1138a,on the other hand,1
gig_1138b,after,1
gig_1138b,then,1
gig_1138c,if,1
gig_1138d,on the other hand,1
gig_1139b,but,1
gig_1139b,first,1
gig_1139d,so,1
gig_114,also,2
gig_114,to conclude,1
gig_1140a,then,1
gig_1140b,second,1
gig_1140c,also,3
gig_1140c,in conclusion,1
gig_115,but,4
gig_115,however,1
gig_115,so,3
gig_116,although,2
gig_116,but,1
gig_116,however,1
gig_117,but,1
gig_117,if,1
gig_117,in conclusion,1
gig_119,however,1
gig_119,if,1
gig_119,in fact,1
gig_119,so,1
gig_119,too,1
gig_11b,finally,1
gig_11c,but,1
gig_11c,then,2
gig_11d,so,1
gig_11d,soon,1
gig_11d,then,1
gig_120,if,1
gig_120,in conclusion,1
gig_121,furthermore,1
gig_121,however,1
gig_121,on the other hand,1
gig_122,also,1
gig_122,if,2
gig_122,to conclude,1
gig_123,however,2
gig_123,if,1
gig_123,in addition,1
gig_123,since,1
gig_123,that is,1
gig_125,but,1
gig_125,however,1
gig_125,so,1
gig_126,also,1
gig_126,furthermore,1
gig_126,in addition,1
gig_126,instead,1
gig_128,if,1
gig_128,so,2
gig_128,whereas,1
gig_129,instead,1
gig_130,so,1
gig_130,unless,1
gig_131,but,2
gig_131,even though,1
gig_131,however,2
gig_131,if,1
gig_131,or,1
gig_131,so,2
gig_132,alternatively,1
gig_133,also,1
gig_133,but,1
gig_133,finally,1
gig_133,in addition,1
gig_133,on the other hand,1
gig_133,to conclude,1
gig_134,additionally,2
gig_134,also,1
gig_134,that is,1
gig_135,but,2
gig_135,finally,1
gig_135,further,1
gig_135,furthermore,1
gig_135,however,1
gig_135,if,1
gig_135,never,1
gig_135,so,1
gig_136,however,1
gig_136,if,1
gig_137,if,1
gig_137,so,1
gig_137,therefore,1
gig_137,too,1
gig_139,although,1
gig_139,because,1
gig_13b,finally,1
gig_13b,next,1
gig_13d,but,1
gig_140,before,1
gig_140,too,1
gig_141,maybe,1
gig_142,although,1
gig_142,however,1
gig_142,if,1
gig_142,the next day,1
gig_142,then,1
gig_142,without,1
gig_143,before,1
gig_143,until,1
gig_144,because,1
gig_144,but,1
gig_144,immediately,1
gig_145,at least,1
gig_145,but,1
gig_145,from then on,1
gig_145,in the end,1
gig_145,so,2
gig_146,but,2
gig_146,maybe,1
gig_146,perhaps,1
gig_146,so,1
gig_146,though,1
gig_148,after,1
gig_148,because,1
gig_148,but,6
gig_148,yet,1
gig_149,after,1
gig_149,still,1
gig_150,apart from,1
gig_150,but,3
gig_150,but for,1
gig_150,despite,1
gig_150,so,3
gig_150,too,1
gig_151,after,1
gig_151,so,1
gig_151,then,1
gig_152,so,3
gig_154,but,1
gig_154,then,1
gig_155,however,2
gig_155,so,1
gig_155,then,1
gig_156,but,2
gig_156,if,1
gig_156,never,1
gig_156,whilst,1
gig_157,but,3
gig_157,once,1
gig_157,or,1
gig_157,then,2
gig_158,although,1
gig_158,but,1
gig_158,so,1
gig_159,but,1
gig_159,never,2
