text_id,analysis_level,detected_item,feature_code,macro_category,path_2,path_3,path_4,path_5,taxis,raw_count,per_1000,word_count_text,word_count_source
es_wr_c1_23_10_14_pg,inter_sentential_v2,finally,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,2.2624434389140275,442,parser_full_text
es_wr_c1_23_10_14_pg,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,1,2.2624434389140275,442,parser_full_text
es_wr_c1_23_10_14_pg,inter_sentential_v2,then,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,2,4.524886877828055,442,parser_full_text
es_wr_c1_23_10_14_pg,inter_sentential_v2,unfortunately,intersent_enh_caus_conc,Enhancement,Causal-Conditional,Concessive,,,,1,2.2624434389140275,442,parser_full_text
es_wr_c1_23_10_14_pg,inter_sentential_v2,while,intersent_ext_adv,Extension,Adversative,,,,,1,2.2624434389140275,442,parser_full_text
es_wr_c1_23_10_3_pfm,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,2,4.773269689737471,419,parser_full_text
es_wr_c1_23_10_3_pfm,inter_sentential_v2,shortly,intersent_enh_spatio_temporal_complex_interrupted,Enhancement,Spatio-temporal,Complex,Interrupted,,,1,2.3866348448687353,419,parser_full_text
es_wr_c1_23_10_3_pfm,inter_sentential_v2,throughout,intersent_enh_spatio_temporal_complex_durative,Enhancement,Spatio-temporal,Complex,Durative,,,1,2.3866348448687353,419,parser_full_text
es_wr_c1_23_12_13_cor,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,2,6.825938566552901,293,parser_full_text
es_wr_c1_23_12_13_cor,inter_sentential_v2,later,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.4129692832764507,293,parser_full_text
es_wr_c1_23_12_13_cor,inter_sentential_v2,while,intersent_ext_adv,Extension,Adversative,,,,,1,3.4129692832764507,293,parser_full_text
es_wr_c1_23_13_13_lec,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,3.067484662576687,326,parser_full_text
es_wr_c1_23_13_3_npm,inter_sentential_v2,in the end,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,3.7037037037037037,270,parser_full_text
es_wr_c1_23_15.5_14_ppm,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,2,5.050505050505051,396,parser_full_text
es_wr_c1_23_15.5_14_ppm,inter_sentential_v2,while,intersent_ext_adv,Extension,Adversative,,,,,1,2.5252525252525255,396,parser_full_text
es_wr_c1_23_15_14_amrp,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,1,1.9569471624266144,511,parser_full_text
es_wr_c1_23_15_3_dgr,inter_sentential_v2,nevertheless,intersent_ext_adv,Extension,Adversative,,,,,1,3.484320557491289,287,parser_full_text
es_wr_c1_23_15_3_dgr,inter_sentential_v2,thus,intersent_enh_manner_means,Enhancement,Manner,Means,,,,1,3.484320557491289,287,parser_full_text
es_wr_c1_23_15_3_ieop,inter_sentential_v2,finally,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,3.472222222222222,288,parser_full_text
es_wr_c1_23_15_3_ivr,inter_sentential_v2,although,intersent_ext_adv,Extension,Adversative,,,,,1,2.9940119760479043,334,parser_full_text
