text_id,detected_item,n_cases
efcamdat_102221,since,1
efcamdat_1022211,because,1
efcamdat_1022214,first,1
efcamdat_1022214,however,1
efcamdat_1022220,but,1
efcamdat_1022220,unfortunately,1
efcamdat_102223,after,1
efcamdat_102224,besides,1
efcamdat_102224,then,1
efcamdat_1022247,after,1
efcamdat_102229,maybe,1
efcamdat_102232,but,1
efcamdat_102234,so,1
efcamdat_102237,after,1
efcamdat_102244,because,1
efcamdat_102244,maybe,1
efcamdat_102256,finally,1
efcamdat_102266,finally,1
efcamdat_102268,maybe,1
efcamdat_1022688,but,1
efcamdat_102271,if,1
efcamdat_102273,after,1
efcamdat_102274,unfortunately,1
efcamdat_102275,if,1
efcamdat_102277,afterwards,1
efcamdat_102279,in the end,1
efcamdat_102279,then,1
efcamdat_102280,but,1
efcamdat_102282,but,1
efcamdat_102288,next,1
efcamdat_102298,until,1
efcamdat_102303,but,1
efcamdat_102303,however,1
efcamdat_102303,maybe,1
efcamdat_102304,because,1
efcamdat_102306,if,1
efcamdat_102311,but,1
efcamdat_102313,after all,1
efcamdat_102313,if,1
efcamdat_102329,also,1
efcamdat_1023351,but,2
efcamdat_10236,if,1
efcamdat_1023685,because,1
efcamdat_10237,as a result,1
efcamdat_10237,however,1
efcamdat_1023720,because,1
efcamdat_1023720,but,1
efcamdat_1023720,nevertheless,1
efcamdat_1023753,also,1
efcamdat_102377,but,1
efcamdat_1023881,first,1
efcamdat_1023881,furthermore,1
efcamdat_10239,also,1
efcamdat_10239,however,1
efcamdat_10239,in addition,1
efcamdat_102393,in the end,1
efcamdat_102393,so,1
efcamdat_102393,then,1
efcamdat_1023969,so,1
efcamdat_102398,if,1
efcamdat_102400,so,1
efcamdat_1024021,also,1
efcamdat_10241,but,1
efcamdat_102413,finally,1
efcamdat_102413,then,1
efcamdat_102418,so,1
efcamdat_102420,in case,1
efcamdat_1024206,after,1
efcamdat_1024207,because,1
efcamdat_1024209,after,1
efcamdat_102421,if,1
efcamdat_1024211,maybe,1
efcamdat_1024213,that is,1
efcamdat_1024215,then,1
efcamdat_1024218,then,1
efcamdat_102425,if,1
efcamdat_102425,then,1
efcamdat_102437,after,2
efcamdat_1024376,but,1
efcamdat_1024376,so,1
efcamdat_1024399,after,1
efcamdat_102440,first,1
efcamdat_102454,so,1
efcamdat_102457,then,1
efcamdat_102460,so,2
efcamdat_102462,if,1
efcamdat_102462,then,1
efcamdat_102463,first,1
efcamdat_102466,but,1
efcamdat_102467,but,1
efcamdat_102469,finally,1
efcamdat_10247,so,1
efcamdat_102470,finally,1
efcamdat_102470,second,1
efcamdat_102471,but,1
efcamdat_102474,if,1
efcamdat_102475,finally,1
efcamdat_102475,first,1
efcamdat_102475,next,1
efcamdat_102477,after,1
efcamdat_102477,first,1
efcamdat_102477,so,1
efcamdat_102478,so,1
efcamdat_102479,because,1
efcamdat_1024792,actually,1
efcamdat_1024792,so,1
efcamdat_102482,actually,1
efcamdat_102482,perhaps,1
efcamdat_102487,if,2
efcamdat_10249,however,1
efcamdat_1024912,after,1
efcamdat_10250,so,1
efcamdat_1025021,but,1
efcamdat_1025038,next,1
efcamdat_1025041,but,1
efcamdat_1025041,then,1
efcamdat_102505,once,1
efcamdat_102507,if,1
efcamdat_102508,but,1
efcamdat_1025080,next,1
efcamdat_10251,also,1
efcamdat_1025203,once,1
efcamdat_1025257,after,1
efcamdat_1025257,so,1
efcamdat_1025458,in addition,1
efcamdat_1025458,nevertheless,1
efcamdat_1025458,to conclude,1
efcamdat_10255,first,1
efcamdat_10255,then,1
efcamdat_102556,by the way,1
efcamdat_102557,in the morning,1
efcamdat_1025648,because,1
efcamdat_1025648,really,1
efcamdat_1025648,so,1
efcamdat_1025675,if,1
efcamdat_1025752,finally,1
efcamdat_1025769,because,1
efcamdat_1025769,so,1
efcamdat_10258,further,1
efcamdat_1025958,but,1
efcamdat_10260,in fact,1
efcamdat_102611,but,1
efcamdat_102619,after,1
efcamdat_102635,maybe,1
