text_id,macro_category,n_cases
gig_1102d,Extension,1
gig_1102e,Enhancement,1
gig_1102e,Extension,1
gig_1102f,Enhancement,1
gig_1102f,Extension,1
gig_1103a,Extension,1
gig_1103b,Extension,1
gig_1103f,Enhancement,1
gig_1104,Enhancement,3
gig_1105a,Enhancement,1
gig_1105a,Extension,2
gig_1105b,Extension,1
gig_1105c,Extension,2
gig_1105d,Extension,2
gig_1105e,Elaboration,1
gig_1105f,Enhancement,2
gig_1105f,Extension,1
gig_1106a,Extension,3
gig_1106b,Extension,3
gig_1106c,Extension,1
gig_1106d,Extension,2
gig_1106e,Elaboration,2
gig_1106e,Enhancement,1
gig_1106e,Extension,6
gig_1106f,Enhancement,1
gig_1107b,Enhancement,1
gig_1108a,Enhancement,2
gig_1108b,Extension,1
gig_1108d,Extension,1
gig_1108e,Extension,2
gig_1108f,Enhancement,2
gig_1109b,Extension,2
gig_1109d,Elaboration,1
gig_1109d,Extension,3
gig_1109e,Extension,1
gig_110a,Enhancement,3
gig_110a,Extension,1
gig_110b,Elaboration,1
gig_110b,Extension,3
gig_1110,Elaboration,2
gig_1110,Enhancement,4
gig_1110,Extension,3
gig_1111a,Elaboration,1
gig_1111a,Enhancement,3
gig_1111a,Extension,3
gig_1111b,Elaboration,1
gig_1111b,Enhancement,4
gig_1111b,Extension,2
gig_1112a,Extension,1
gig_1113,Elaboration,1
gig_1115c,Extension,1
gig_1115d,Enhancement,5
gig_1116a,Extension,1
gig_1116b,Enhancement,2
gig_1116c,Enhancement,1
gig_1116c,Extension,1
gig_1118a,Extension,3
gig_1118b,Extension,2
gig_1118c,Extension,1
gig_1118d,Elaboration,2
gig_1118d,Extension,1
gig_1118e,Enhancement,1
gig_1119c,Extension,1
gig_111a,Extension,1
gig_111b,Elaboration,1
gig_111b,Enhancement,1
gig_111b,Extension,3
gig_1121a,Enhancement,2
gig_1121b,Extension,1
gig_1121c,Enhancement,2
gig_1121f,Extension,1
gig_1124e,Enhancement,1
gig_1125c,Elaboration,1
gig_1126a,Extension,1
gig_1126c,Extension,1
gig_1127a,Elaboration,1
gig_1128c,Elaboration,1
gig_1128c,Extension,1
gig_1129e,Enhancement,1
gig_1129f,Enhancement,1
gig_1129f,Extension,1
gig_113,Extension,3
gig_1130e,Enhancement,1
gig_1131c,Extension,2
gig_1132c,Enhancement,1
gig_1132f,Enhancement,1
gig_1132g,Enhancement,1
gig_1134d,Enhancement,2
gig_1135g,Enhancement,1
gig_1135h,Elaboration,1
gig_1135h,Enhancement,1
gig_1135h,Extension,1
gig_1136a,Extension,3
gig_1137e,Elaboration,1
gig_1138a,Enhancement,1
gig_1138a,Extension,1
gig_1138b,Enhancement,2
gig_1138c,Enhancement,1
gig_1138d,Extension,1
gig_1139b,Enhancement,1
gig_1139b,Extension,1
gig_1139d,Enhancement,1
gig_114,Enhancement,1
gig_114,Extension,2
gig_1140a,Enhancement,1
gig_1140b,Enhancement,1
gig_1140c,Elaboration,1
gig_1140c,Extension,3
gig_115,Enhancement,3
