corpus,text_id,group,word_count_text,paragraph_count_text,eligible_paragraph_starts,supported_interparagraph_elaboration_raw,supported_interparagraph_enhancement_raw,supported_interparagraph_extension_raw,supported_interparagraph_total_raw,supported_interparagraph_total_per_1000,supported_interparagraph_total_per_eligible_paragraph_start,supported_interparagraph_elaboration_per_1000,supported_interparagraph_elaboration_per_eligible_paragraph_start,supported_interparagraph_enhancement_per_1000,supported_interparagraph_enhancement_per_eligible_paragraph_start,supported_interparagraph_extension_per_1000,supported_interparagraph_extension_per_eligible_paragraph_start
GiG,862c,6,184,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,862d,6,220,12,11,0,1,0,1,4.545454545454545,0.0909090909090909,0.0,0.0,4.545454545454545,0.0909090909090909,0.0,0.0
GiG,863b,6,145,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,863c,6,271,15,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,863d,6,127,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,863f,6,154,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,864a,6,151,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,864d,6,271,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,865a,6,140,13,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,865d,6,149,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,865e,6,247,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,866a,6,146,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,866b,6,119,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,866c,6,111,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,866d,6,150,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,867b,6,213,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,867c,6,325,6,5,0,1,0,1,3.076923076923077,0.2,0.0,0.0,3.076923076923077,0.2,0.0,0.0
GiG,867e,6,172,7,6,1,1,0,2,11.627906976744184,0.3333333333333333,5.813953488372093,0.1666666666666666,5.813953488372093,0.1666666666666666,0.0,0.0
GiG,868a,6,160,13,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,868b,6,162,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,868c,6,179,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,868d,6,178,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,868e,6,158,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
