text_id,taxis,n_cases
gig_1094c,paratactic,4
gig_1094d,hypotactic,10
gig_1094d,paratactic,2
gig_1094e,hypotactic,2
gig_1094e,paratactic,1
gig_1095a,hypotactic,1
gig_1095a,paratactic,1
gig_1095b,hypotactic,7
gig_1095b,paratactic,9
gig_1095c,hypotactic,1
gig_1095d,hypotactic,15
gig_1095d,paratactic,10
gig_1095e,hypotactic,7
gig_1095e,paratactic,4
gig_1095f,hypotactic,3
gig_1096a,hypotactic,1
gig_1096a,paratactic,1
gig_1096b,hypotactic,4
gig_1096b,paratactic,1
gig_1096c,hypotactic,4
gig_1096c,paratactic,1
gig_1096d,hypotactic,3
gig_1096d,paratactic,3
gig_1096e,hypotactic,4
gig_1096e,paratactic,3
gig_1097a,hypotactic,6
gig_1097a,paratactic,2
gig_1097b,hypotactic,3
gig_1097b,paratactic,2
gig_1097c,hypotactic,2
gig_1097c,paratactic,1
gig_1097d,hypotactic,8
gig_1097d,paratactic,7
gig_1097e,hypotactic,5
gig_1097e,paratactic,6
gig_1097f,hypotactic,14
gig_1097f,paratactic,6
gig_1098a,hypotactic,4
gig_1098a,paratactic,1
gig_1098b,hypotactic,4
gig_1098b,paratactic,4
gig_1098c,hypotactic,2
gig_1098c,paratactic,2
gig_1098d,hypotactic,11
gig_1098d,paratactic,5
gig_1098e,hypotactic,13
gig_1098e,paratactic,6
gig_1098f,hypotactic,3
gig_1098f,paratactic,3
gig_1099a,hypotactic,4
gig_1099a,paratactic,1
gig_1099b,hypotactic,5
gig_1099b,paratactic,1
gig_1099c,hypotactic,2
gig_1099c,paratactic,4
gig_1099d,hypotactic,10
gig_1099d,paratactic,2
gig_1099e,hypotactic,2
gig_1099e,paratactic,1
gig_1099f,hypotactic,1
gig_109a,hypotactic,10
gig_109b,paratactic,3
gig_10a,hypotactic,1
gig_10a,paratactic,4
gig_1100a,hypotactic,3
gig_1100b,hypotactic,2
gig_1100b,paratactic,1
gig_1100c,hypotactic,1
gig_1100c,paratactic,2
gig_1100d,hypotactic,4
gig_1100d,paratactic,2
gig_1100e,hypotactic,7
gig_1100e,paratactic,1
gig_1100f,hypotactic,5
gig_1100f,paratactic,1
gig_1101a,paratactic,1
gig_1101b,hypotactic,2
gig_1101b,paratactic,3
gig_1101c,hypotactic,6
gig_1101c,paratactic,5
gig_1101d,hypotactic,8
gig_1101d,paratactic,6
gig_1101e,hypotactic,5
gig_1101e,paratactic,2
gig_1102a,hypotactic,1
gig_1102b,hypotactic,3
gig_1102b,paratactic,2
gig_1102c,hypotactic,1
gig_1102c,paratactic,1
gig_1102d,hypotactic,5
gig_1102d,paratactic,3
gig_1102e,hypotactic,11
gig_1102e,paratactic,7
gig_1102f,hypotactic,5
gig_1102f,paratactic,2
gig_1103a,hypotactic,4
gig_1103a,paratactic,3
gig_1103b,hypotactic,1
gig_1103b,paratactic,1
gig_1103c,hypotactic,2
gig_1103c,paratactic,4
gig_1103d,hypotactic,3
gig_1103d,paratactic,2
gig_1103e,hypotactic,2
gig_1103e,paratactic,1
gig_1103f,hypotactic,3
gig_1103f,paratactic,1
gig_1104,hypotactic,6
gig_1104,paratactic,3
gig_1105a,hypotactic,4
gig_1105b,hypotactic,5
gig_1105b,paratactic,2
gig_1105c,hypotactic,7
gig_1105c,paratactic,3
gig_1105d,hypotactic,13
gig_1105d,paratactic,10
gig_1105e,hypotactic,9
gig_1105e,paratactic,3
gig_1105f,hypotactic,18
gig_1105f,paratactic,11
gig_1106a,hypotactic,7
gig_1106a,paratactic,8
gig_1106b,hypotactic,8
gig_1106b,paratactic,1
gig_1106c,hypotactic,3
gig_1106c,paratactic,2
gig_1106d,hypotactic,6
gig_1106e,hypotactic,13
gig_1106e,paratactic,5
gig_1106f,hypotactic,11
gig_1106f,paratactic,1
gig_1107a,hypotactic,5
gig_1107a,paratactic,3
gig_1107b,hypotactic,6
gig_1107b,paratactic,1
gig_1108a,hypotactic,1
gig_1108b,hypotactic,5
gig_1108b,paratactic,5
gig_1108c,hypotactic,1
gig_1108c,paratactic,4
gig_1108d,hypotactic,2
gig_1108d,paratactic,6
gig_1108e,hypotactic,2
gig_1108e,paratactic,5
gig_1108f,hypotactic,1
gig_1108f,paratactic,1
gig_1109a,hypotactic,3
gig_1109a,paratactic,5
gig_1109b,hypotactic,5
gig_1109b,paratactic,5
gig_1109c,hypotactic,4
gig_1109c,paratactic,2
gig_1109d,hypotactic,11
gig_1109d,paratactic,7
gig_1109e,hypotactic,6
gig_1109e,paratactic,1
gig_110a,hypotactic,9
gig_110a,paratactic,4
gig_110b,hypotactic,5
gig_110b,paratactic,2
gig_1110,hypotactic,10
gig_1110,paratactic,6
gig_1111a,hypotactic,30
gig_1111a,paratactic,8
gig_1111b,hypotactic,23
gig_1111b,paratactic,12
gig_1112a,hypotactic,3
gig_1112a,paratactic,1
gig_1112b,hypotactic,1
gig_1112b,paratactic,3
gig_1113,hypotactic,10
gig_1113,paratactic,8
gig_1115a,hypotactic,1
gig_1115a,paratactic,2
gig_1115b,hypotactic,2
gig_1115b,paratactic,1
gig_1115c,hypotactic,3
gig_1115c,paratactic,1
gig_1115d,hypotactic,5
gig_1115d,paratactic,4
gig_1116a,hypotactic,3
gig_1116a,paratactic,3
gig_1116b,hypotactic,8
gig_1116b,paratactic,9
gig_1116c,hypotactic,11
gig_1116c,paratactic,4
gig_1118a,hypotactic,4
gig_1118a,paratactic,1
gig_1118b,hypotactic,3
gig_1118c,hypotactic,3
gig_1118c,paratactic,3
gig_1118d,hypotactic,2
gig_1118e,hypotactic,1
gig_1118e,paratactic,3
gig_1119b,paratactic,1
gig_1119c,hypotactic,4
gig_1119e,hypotactic,3
gig_1119e,paratactic,1
gig_1119f,hypotactic,1
gig_1119g,paratactic,4
gig_111a,hypotactic,3
gig_111a,paratactic,1
gig_111b,hypotactic,6
gig_111b,paratactic,5
gig_1120a,paratactic,4
gig_1121a,hypotactic,1
gig_1121a,paratactic,2
gig_1121b,hypotactic,5
gig_1121b,paratactic,1
gig_1121c,paratactic,3
gig_1121d,hypotactic,2
gig_1121e,hypotactic,2
gig_1121f,hypotactic,4
gig_1122,hypotactic,1
gig_1122,paratactic,2
gig_1123a,hypotactic,4
gig_1123a,paratactic,2
gig_1123b,hypotactic,3
gig_1124a,paratactic,1
gig_1124c,hypotactic,2
gig_1124c,paratactic,1
gig_1124d,hypotactic,1
gig_1124e,paratactic,1
gig_1124f,hypotactic,1
gig_1125a,hypotactic,2
gig_1125c,hypotactic,2
gig_1126a,hypotactic,1
gig_1126a,paratactic,1
gig_1126b,paratactic,2
gig_1126c,paratactic,3
gig_1127b,hypotactic,2
gig_1128b,hypotactic,2
gig_1128c,hypotactic,3
gig_1128d,hypotactic,1
gig_1128e,hypotactic,1
gig_1128e,paratactic,1
gig_1129c,hypotactic,3
gig_1129c,paratactic,1
gig_1129f,hypotactic,3
gig_113,hypotactic,7
gig_113,paratactic,4
gig_1130a,hypotactic,2
gig_1130b,hypotactic,1
gig_1130c,hypotactic,2
gig_1130e,hypotactic,1
gig_1130e,paratactic,1
gig_1131b,hypotactic,1
gig_1131b,paratactic,3
gig_1131c,hypotactic,4
gig_1131c,paratactic,2
gig_1132c,hypotactic,3
gig_1132c,paratactic,2
