text_id,taxis,n_cases
cz_wr_c2_19_11_14_aa,hypotactic,12
cz_wr_c2_19_11_14_aa,paratactic,9
cz_wr_c2_19_12.5_14_vk,hypotactic,9
cz_wr_c2_21_15_14_af,hypotactic,20
cz_wr_c2_21_15_14_af,paratactic,12
cz_wr_c2_23_15_14_ks,hypotactic,11
cz_wr_c2_23_15_14_ks,paratactic,3
cz_wr_c2_23_17_14_pl,hypotactic,8
cz_wr_c2_23_17_14_pl,paratactic,6
cz_wr_c2_23_19_14_vz,hypotactic,7
cz_wr_c2_23_19_14_vz,paratactic,2
cz_wr_c2_24_13_14_mv,hypotactic,5
cz_wr_c2_24_13_14_mv,paratactic,1
cz_wr_c2_24_15_14_sv,hypotactic,6
cz_wr_c2_24_15_14_sv,paratactic,8
cz_wr_c2_24_17_14_tr,hypotactic,4
cz_wr_c2_24_17_14_tr,paratactic,3
cz_wr_c2_24_18_14_nm,hypotactic,3
cz_wr_c2_24_18_14_nm,paratactic,2
cz_wr_c2_24_20_14_vr,hypotactic,2
cz_wr_c2_24_20_14_vr,paratactic,1
cz_wr_c2_25_17_14_ss,hypotactic,2
cz_wr_c2_25_17_14_ss,paratactic,4
cz_wr_c2_26_17_14_ks,hypotactic,6
cz_wr_c2_26_17_14_ks,paratactic,2
cz_wr_c2_27_23_14_vj,hypotactic,17
cz_wr_c2_27_23_14_vj,paratactic,10
cz_wr_c2_38_20_14_tt,hypotactic,3
cz_wr_c2_38_20_14_tt,paratactic,1
cz_wr_c2_39_29_14_es,hypotactic,5
cz_wr_c2_39_29_14_es,paratactic,2
cz_wr_c2_43_31_14_jm,hypotactic,4
cz_wr_c2_43_31_14_jm,paratactic,2
cz_wr_c2_49_40_14_lk,hypotactic,5
de_wr_b1_19_11_13_rn,hypotactic,4
de_wr_b1_19_11_13_rn,paratactic,1
de_wr_b1_21_12_13_se,hypotactic,6
de_wr_b1_21_12_13_se,paratactic,2
de_wr_b1_22_11_13_ls,hypotactic,2
de_wr_b1_22_15_13_lf,hypotactic,3
de_wr_b1_22_15_13_lf,paratactic,2
de_wr_b1_24_16_14_mw,hypotactic,2
de_wr_b1_24_16_14_mw,paratactic,1
de_wr_b1_26_13_13_tm,hypotactic,4
de_wr_b1_33_10_14_jr,hypotactic,13
de_wr_b1_33_10_14_jr,paratactic,4
de_wr_b2_18_10_14_pm,hypotactic,10
de_wr_b2_18_10_14_pm,paratactic,4
de_wr_b2_18_13_14_fr,hypotactic,3
de_wr_b2_18_13_14_fr,paratactic,3
de_wr_b2_18_16_14_ln,hypotactic,5
de_wr_b2_18_16_14_ln,paratactic,1
