text_id,macro_category,n_cases
gig_1048b,Extension,1
gig_1048c,Enhancement,1
gig_1048c,Extension,4
gig_1049a,Enhancement,1
gig_1049a,Extension,1
gig_1049b,Enhancement,12
gig_1049c,Enhancement,7
gig_1049c,Extension,1
gig_104a,Elaboration,1
gig_104a,Enhancement,8
gig_104a,Extension,2
gig_104b,Enhancement,2
gig_104b,Extension,2
gig_1050a,Enhancement,3
gig_1050b,Enhancement,7
gig_1051a,Enhancement,3
gig_1051b,Enhancement,2
gig_1051c,Enhancement,4
gig_1051c,Extension,2
gig_1051d,Enhancement,1
gig_1051d,Extension,2
gig_1051e,Elaboration,1
gig_1051e,Enhancement,1
gig_1051e,Extension,3
gig_1051f,Elaboration,2
gig_1051f,Enhancement,7
gig_1052a,Enhancement,1
gig_1052b,Enhancement,1
gig_1052b,Extension,3
gig_1053a,Enhancement,8
gig_1053a,Extension,2
gig_1053b,Elaboration,2
gig_1053b,Enhancement,7
gig_1053b,Extension,1
gig_1053c,Elaboration,4
gig_1053c,Enhancement,9
gig_1053c,Extension,1
gig_1053d,Elaboration,2
gig_1053d,Enhancement,8
gig_1053d,Extension,5
gig_1053e,Enhancement,4
gig_1053e,Extension,1
gig_1054a,Enhancement,6
gig_1054a,Extension,4
gig_1054b,Elaboration,1
gig_1054b,Enhancement,5
gig_1054b,Extension,2
gig_1054c,Elaboration,1
gig_1054c,Enhancement,12
gig_1054c,Extension,3
gig_1054d,Elaboration,3
gig_1054d,Enhancement,7
gig_1054d,Extension,4
gig_1054e,Enhancement,5
gig_1055a,Enhancement,1
gig_1055a,Extension,6
gig_1055b,Elaboration,3
gig_1055b,Enhancement,8
gig_1055b,Extension,3
gig_1055c,Elaboration,2
gig_1055c,Enhancement,25
gig_1055c,Extension,2
gig_1055d,Elaboration,2
gig_1055d,Enhancement,5
gig_1055d,Extension,1
gig_1055e,Elaboration,4
gig_1055e,Enhancement,8
gig_1055e,Extension,3
gig_1055f,Enhancement,4
gig_1055f,Extension,3
gig_1056a,Elaboration,1
gig_1056a,Enhancement,7
gig_1056a,Extension,3
gig_1056b,Enhancement,11
gig_1056b,Extension,8
gig_1056c,Enhancement,2
gig_1056c,Extension,2
gig_1056d,Enhancement,7
gig_1056d,Extension,1
gig_1057a,Elaboration,1
gig_1057a,Enhancement,7
gig_1057a,Extension,4
gig_1057b,Enhancement,14
gig_1057b,Extension,3
gig_1057c,Enhancement,31
gig_1057c,Extension,13
gig_1057d,Enhancement,5
gig_1057d,Extension,3
gig_1057e,Elaboration,3
gig_1057e,Enhancement,12
gig_1057e,Extension,3
gig_1057f,Enhancement,3
gig_1057f,Extension,2
gig_1058a,Enhancement,12
gig_1058a,Extension,6
gig_1058b,Elaboration,3
gig_1058b,Enhancement,15
gig_1058b,Extension,2
gig_1058c,Elaboration,1
gig_1058c,Enhancement,19
gig_1058c,Extension,5
gig_1058d,Elaboration,1
gig_1058d,Enhancement,14
gig_1058d,Extension,2
gig_1058e,Enhancement,5
gig_1058e,Extension,2
gig_1058f,Enhancement,10
gig_1058f,Extension,1
gig_1059a,Enhancement,11
gig_1059a,Extension,8
gig_1059b,Elaboration,1
gig_1059b,Enhancement,3
gig_1059c,Elaboration,1
gig_1059c,Enhancement,5
gig_1059c,Extension,5
gig_1059d,Elaboration,1
gig_1059d,Enhancement,1
gig_1059d,Extension,1
gig_1059e,Enhancement,1
gig_1059e,Extension,7
gig_105a,Enhancement,11
gig_105a,Extension,1
gig_105b,Enhancement,7
gig_105b,Extension,4
gig_1060a,Enhancement,2
gig_1060a,Extension,1
gig_1060b,Enhancement,7
gig_1060b,Extension,1
gig_1060c,Enhancement,11
gig_1060d,Enhancement,3
gig_1060d,Extension,2
gig_1060e,Elaboration,1
gig_1060e,Enhancement,7
gig_1060e,Extension,2
gig_1060f,Enhancement,6
gig_1061a,Enhancement,15
gig_1061a,Extension,4
gig_1061b,Elaboration,2
gig_1061b,Enhancement,37
gig_1061b,Extension,5
gig_1061c,Elaboration,4
gig_1061c,Enhancement,13
gig_1061c,Extension,1
gig_1061d,Elaboration,4
gig_1061d,Enhancement,5
gig_1061e,Enhancement,5
gig_1061e,Extension,3
gig_1061f,Enhancement,19
gig_1061f,Extension,11
gig_1062a,Enhancement,7
gig_1062a,Extension,2
gig_1062b,Elaboration,1
gig_1062b,Enhancement,5
gig_1062b,Extension,3
gig_1062c,Elaboration,1
gig_1062c,Enhancement,17
gig_1062c,Extension,4
gig_1062d,Enhancement,3
gig_1062e,Elaboration,4
gig_1062e,Enhancement,4
gig_1062e,Extension,2
gig_1063a,Elaboration,1
gig_1063a,Enhancement,6
gig_1063b,Elaboration,1
gig_1063b,Enhancement,5
gig_1063b,Extension,2
gig_1063c,Elaboration,1
gig_1063c,Enhancement,15
gig_1063c,Extension,5
gig_1063d,Elaboration,3
gig_1063d,Enhancement,3
gig_1063d,Extension,2
gig_1063e,Elaboration,2
gig_1063e,Enhancement,7
gig_1063e,Extension,5
gig_1063f,Enhancement,2
gig_1063f,Extension,1
gig_1064a,Enhancement,1
gig_1064a,Extension,2
gig_1064b,Enhancement,11
gig_1064b,Extension,2
gig_1064c,Elaboration,1
gig_1064c,Enhancement,25
gig_1064c,Extension,5
gig_1064d,Elaboration,1
gig_1064d,Enhancement,9
gig_1064d,Extension,3
gig_1064e,Elaboration,1
gig_1064e,Enhancement,8
gig_1064e,Extension,6
gig_1064f,Enhancement,3
gig_1065a,Enhancement,11
gig_1065a,Extension,5
gig_1065b,Enhancement,8
gig_1065b,Extension,3
gig_1065c,Enhancement,9
gig_1065c,Extension,1
gig_1066a,Enhancement,4
gig_1066b,Elaboration,1
gig_1066b,Enhancement,12
gig_1066b,Extension,1
gig_1066c,Elaboration,1
gig_1066c,Enhancement,32
gig_1066c,Extension,4
gig_1066d,Elaboration,1
gig_1066d,Enhancement,4
gig_1066d,Extension,1
gig_1066e,Elaboration,1
gig_1066e,Enhancement,10
gig_1066e,Extension,2
gig_1066f,Enhancement,7
gig_1066f,Extension,2
gig_1067a,Enhancement,6
gig_1067a,Extension,1
gig_1067b,Elaboration,2
gig_1067b,Enhancement,15
gig_1067b,Extension,2
gig_1067c,Elaboration,2
gig_1067c,Enhancement,24
gig_1067c,Extension,8
gig_1067d,Elaboration,4
gig_1067d,Enhancement,6
gig_1067d,Extension,2
gig_1067e,Enhancement,7
gig_1067e,Extension,5
gig_1068a,Elaboration,1
gig_1068a,Enhancement,22
gig_1068a,Extension,8
gig_1068b,Enhancement,11
gig_1069a,Elaboration,1
gig_1069a,Enhancement,13
gig_1069a,Extension,5
gig_1069b,Elaboration,1
gig_1069b,Enhancement,2
gig_1069b,Extension,2
gig_106a,Enhancement,14
gig_106a,Extension,8
gig_1070,Enhancement,5
gig_1070,Extension,2
gig_1071,Elaboration,1
gig_1071,Enhancement,6
gig_1071,Extension,8
gig_1072a,Elaboration,2
gig_1072a,Enhancement,10
gig_1072a,Extension,3
gig_1072b,Elaboration,1
gig_1072b,Enhancement,10
gig_1073,Enhancement,16
gig_1073,Extension,2
gig_1074a,Elaboration,2
gig_1074a,Enhancement,25
gig_1074b,Elaboration,1
gig_1074b,Enhancement,12
gig_1074b,Extension,8
gig_1075a,Elaboration,2
gig_1075a,Enhancement,21
gig_1075a,Extension,4
gig_1075b,Elaboration,1
gig_1075b,Enhancement,7
gig_1075b,Extension,8
gig_1076a,Enhancement,13
gig_1076a,Extension,3
gig_1076b,Elaboration,1
gig_1076b,Enhancement,10
gig_1076b,Extension,4
gig_1077a,Elaboration,1
gig_1077a,Enhancement,15
gig_1077a,Extension,2
gig_1077b,Enhancement,36
gig_1077b,Extension,7
gig_1078a,Elaboration,4
gig_1078a,Enhancement,24
gig_1078a,Extension,4
gig_1078b,Elaboration,2
gig_1078b,Enhancement,21
gig_1078b,Extension,5
gig_1079,Elaboration,4
gig_1079,Enhancement,14
gig_1079,Extension,2
gig_107a,Enhancement,14
gig_107a,Extension,1
gig_107b,Elaboration,1
gig_107b,Enhancement,10
gig_107b,Extension,5
gig_1080a,Enhancement,11
gig_1080a,Extension,2
gig_1080b,Elaboration,1
gig_1080b,Enhancement,10
gig_1080b,Extension,1
gig_1081,Elaboration,1
gig_1081,Enhancement,12
gig_1081,Extension,5
gig_1082a,Elaboration,1
gig_1082a,Enhancement,6
gig_1082b,Elaboration,3
gig_1082b,Enhancement,22
gig_1083a,Elaboration,2
gig_1083a,Enhancement,4
gig_1083a,Extension,2
gig_1083b,Elaboration,1
gig_1083b,Enhancement,9
gig_1083b,Extension,1
gig_1084a,Elaboration,3
gig_1084a,Enhancement,12
gig_1084a,Extension,8
gig_1084b,Enhancement,15
gig_1084b,Extension,2
gig_1085a,Elaboration,1
