text_id,detected_item,n_cases
cz_wr_a2_18_9_14_kz,and,1
cz_wr_a2_18_9_14_kz,but,1
cz_wr_a2_18_9_14_kz,so,2
cz_wr_a2_18_9_14_kz,when,1
cz_wr_a2_18_9_14_kz,where,6
cz_wr_a2_19_10_14_dr,after,2
cz_wr_a2_19_10_14_dr,and,6
cz_wr_a2_19_10_14_dr,but not,1
cz_wr_a2_19_10_14_dr,that is,1
cz_wr_a2_19_10_14_dr,where,3
cz_wr_a2_19_12_14_bp,but,3
cz_wr_a2_19_12_14_bp,when,1
cz_wr_a2_19_12_14_bp,where,2
cz_wr_a2_19_13_14_mh,and,2
cz_wr_a2_19_13_14_mh,because,1
cz_wr_a2_19_13_14_mh,but,1
cz_wr_a2_19_13_14_mh,if,1
cz_wr_a2_19_13_14_mh,so,2
cz_wr_a2_19_13_14_mh,when,1
cz_wr_a2_19_13_14_mh,where,2
cz_wr_a2_19_13_14_vv,after,1
cz_wr_a2_19_13_14_vv,and,6
cz_wr_a2_19_13_14_vv,as,1
cz_wr_a2_19_13_14_vv,because,1
cz_wr_a2_19_13_14_vv,before,1
cz_wr_a2_19_13_14_vv,but,2
cz_wr_a2_19_13_14_vv,so,2
cz_wr_a2_19_13_14_vv,when,2
cz_wr_a2_19_13_14_vv,where,4
cz_wr_a2_19_13_14_vv,while,1
cz_wr_a2_19_9_14_lh,after,1
cz_wr_a2_19_9_14_lh,and,1
cz_wr_a2_19_9_14_lh,so,1
cz_wr_a2_19_9_14_lh,then,1
cz_wr_a2_19_9_14_lh,where,2
cz_wr_b1_18_10.5_14_mp,and,2
cz_wr_b1_18_10.5_14_mp,before,1
cz_wr_b1_18_10.5_14_mp,but,1
cz_wr_b1_18_10.5_14_mp,that is,1
cz_wr_b1_18_10.5_14_mp,then,1
cz_wr_b1_18_10.5_14_mp,when,1
cz_wr_b1_18_10.5_14_mp,where,3
cz_wr_b1_18_10.5_14_mp,while,1
cz_wr_b1_18_10_14_tr,so,2
cz_wr_b1_18_10_14_tr,though,1
cz_wr_b1_18_10_14_tr,when,1
cz_wr_b1_18_10_14_tr,where,2
cz_wr_b1_18_12_14_svv,and,1
cz_wr_b1_18_12_14_svv,because,1
cz_wr_b1_18_12_14_svv,where,2
cz_wr_b1_18_14_14_kn,and,5
cz_wr_b1_18_14_14_kn,away from,1
cz_wr_b1_18_14_14_kn,because,1
cz_wr_b1_18_14_14_kn,but,3
cz_wr_b1_18_14_14_kn,so,6
cz_wr_b1_18_14_14_kn,then,1
cz_wr_b1_18_14_14_kn,when,5
cz_wr_b1_18_14_14_kn,where,4
cz_wr_b1_18_14_14_kn,while,1
cz_wr_b1_18_3_14_vpk,but,1
cz_wr_b1_18_3_14_vpk,then,1
cz_wr_b1_18_3_14_vpk,where,2
cz_wr_b1_18_9.5_14_kc,and,1
cz_wr_b1_18_9.5_14_kc,because,1
cz_wr_b1_18_9.5_14_kc,so,2
cz_wr_b1_18_9.5_14_kc,where,2
cz_wr_b1_19_10_14_am,after,2
cz_wr_b1_19_10_14_am,and,1
cz_wr_b1_19_10_14_am,but,1
cz_wr_b1_19_10_14_am,so,1
cz_wr_b1_19_10_14_am,where,4
cz_wr_b1_19_10_14_mb,and,4
cz_wr_b1_19_10_14_mb,as,1
cz_wr_b1_19_10_14_mb,before,1
cz_wr_b1_19_10_14_mb,so,1
cz_wr_b1_19_10_14_mb,still,1
cz_wr_b1_19_10_14_mb,when,1
cz_wr_b1_19_10_14_mb,where,2
cz_wr_b1_20_14_14_at,after,1
cz_wr_b1_20_14_14_at,and,4
cz_wr_b1_20_14_14_at,and so,1
cz_wr_b1_20_14_14_at,before,1
cz_wr_b1_20_14_14_at,so,1
cz_wr_b1_20_14_14_at,then,1
cz_wr_b1_20_14_14_at,where,4
cz_wr_b1_33_24_14_vj,and,2
cz_wr_b1_33_24_14_vj,then,1
cz_wr_b1_33_24_14_vj,where,4
cz_wr_b1_34_5_14_lk,because,1
cz_wr_b1_34_5_14_lk,just as,1
cz_wr_b1_34_5_14_lk,where,3
cz_wr_b1_47_4_14_vh,and,5
cz_wr_b1_47_4_14_vh,before,1
cz_wr_b1_47_4_14_vh,but,3
cz_wr_b1_47_4_14_vh,where,2
cz_wr_b1_62_5_14_bk,at the same time,1
cz_wr_b1_62_5_14_bk,before,1
